Día,Menú,Entrante,Primero,Segundo,Acompañamiento,Postre
"VIERNES,  4  DE  OCTUBRE  DE  2024",Menú 1,,Patatas en ajo pollo,Paleta de cerdo a la jardinera,,Pera
"VIERNES,  4  DE  OCTUBRE  DE  2024",Menú 2,,Patatas en ajo pollo,Crepes de espinacas y escalibada,,Pera
"SÁBADO,  5  DE  OCTUBRE  DE  2024",Menú 1,Buñuelos de jamón y queso,Huevos a la flamenca,Aguja a la parrilla,Patatas ali-oli,Manzana
"SÁBADO,  5  DE  OCTUBRE  DE  2024",Menú 2,,Salteado de garbanzos y acelgas,Hamburguesas de calabaza,Patatas ali-oli,Manzana
"LUNES,  7  DE  OCTUBRE  DE  2024",Menú 1,,"Arroz con chistorra, pollo y verduras",Pollo Mozárabe,Col frita,Melón
"LUNES,  7  DE  OCTUBRE  DE  2024",Menú 2,,Arroz con verduras y legumbres,Tofu con ali-oli de piña gratinado,Col frita,Melón
"MARTES,  8  DE  OCTUBRE  DE  2024",Menú 1,,Ensalada de pasta,San Jacobo de cerdo,Patatas a la brava,Pera
"MARTES,  8  DE  OCTUBRE  DE  2024",Menú 2,,Ensalada de pasta,Cachopo de berenjenas,Patatas a la brava,Pera
"MIÉRCOLES,  9  DE  OCTUBRE  DE  2024",Menú 1,,Tortellini con bacon y champiñones,Merluza en salsa colbert,Menestra de verduras,Manzana
"MIÉRCOLES,  9  DE  OCTUBRE  DE  2024",Menú 2,,Espaguetis sobre espinacas y crema de queso,Tortilla de verduras,Menestra de verduras,Manzana
"JUEVES,  10  DE  OCTUBRE  DE  2024",Menú 1,Pincho de tortilla de hortalizas con salsa pico de gallo,Estofado de lentejas,Caldereta de cerdo,,Flan de huevo
"JUEVES,  10  DE  OCTUBRE  DE  2024",Menú 2,Pincho de tortilla de hortalizas con salsa pico de gallo,Estofado de lentejas,Calabaza en ajillo,,Flan de huevo
"VIERNES,  11  DE  OCTUBRE  DE  2024",Menú 1,,Marmitako,Ternera a la carbonada,Pimientos fritos (VG),Plátano
"VIERNES,  11  DE  OCTUBRE  DE  2024",Menú 2,,Patatas en ajo pollo (VG),Croquetas de zanahorias y espinacas,Pimientos fritos (VG),Plátano
"VIERNES,  4  DE  OCTUBRE  DE  2024",Menú 1,,"Tortilla de verduras, gambas y jamón",Paleta de cerdo a la jardinera,Ensalada japonesa,Pera
"VIERNES,  4  DE  OCTUBRE  DE  2024",Menú 2,,Tortilla de berenjenas,Salteado de garbanzos y acelgas,Ensalada,Pera
"LUNES,  7  DE  OCTUBRE  DE  2024",Menú 1,,"Arroz con chistorra, pollo y verduras",Pollo Mozárabe,Menestra de verduras (VG),Melón
"LUNES,  7  DE  OCTUBRE  DE  2024",Menú 2,,Arroz con verduras y legumbres,Tofu con ali-oli de piña gratinado,Menestra de verduras,Melón
"MARTES,  8  DE  OCTUBRE  DE  2024",Menú 1,,Ensalada piamontesa,Filete de cerdo a la parrilla,Patatas a la brava,Pera
"MARTES,  8  DE  OCTUBRE  DE  2024",Menú 2,,Ensalada piamontesa,Revuelto campesino,Patatas a la brava,Pera
"MIÉRCOLES,  9  DE  OCTUBRE  DE  2024",Menú 1,,Tortenili con beicon y champiñones,Merluza a la vasca,,Manzana
"MIÉRCOLES,  9  DE  OCTUBRE  DE  2024",Menú 2,,Espaguetis sobre espinacas y crema de queso,Tortilla de verduras,Menestra de verduras,Manzana
"JUEVES,  10  DE  OCTUBRE  DE  2024",Menú 1,Pincho de tortilla de hortalizas con salsa pico de gallo,Estofado de lentejas,Caldereta de cerdo,,Flan de huevo
"JUEVES,  10  DE  OCTUBRE  DE  2024",Menú 2,Pincho de tortilla de hortalizas con salsa pico de gallo,Estofado de lentejas,,Calabaza en ajillo,Flan de huevo
"VIERNES,  11  DE  OCTUBRE  DE  2024",Menú 1,,Marmitako,Ternera a la carbonada,Pimientos fritos,Plátano
"VIERNES,  11  DE  OCTUBRE  DE  2024",Menú 2,,Patatas en ajo pollo,Queso de Burgos en crocanti,Pimientos fritos,Plátano
