Nombre,Siglas,Grupo,Aula,Fecha de inicio,Fecha final,Horario,Profesor,URL
Cálculo,C,6,22,16/09/2024,20/12/2024,09:30-10:30,Abraham Rueda Zoca,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,C,01,16/09/2024,20/12/2024,09:30-10:30,Sheldon Miriel Gil Dantas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,A,03,16/09/2024,20/12/2024,10:30-11:30,María Pilar Muñoz Rivas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,7,31,16/09/2024,20/12/2024,10:30-11:30,Sheldon Miriel Gil Dantas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,5,26,16/09/2024,20/12/2024,10:30-11:30,Sheldon Miriel Gil Dantas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,B,06,16/09/2024,20/12/2024,11:30-12:30,María Pilar Muñoz Rivas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,B,06,16/09/2024,20/12/2024,11:30-13:30,María Pilar Muñoz Rivas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,C,01,16/09/2024,20/12/2024,11:30-12:30,Sheldon Miriel Gil Dantas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,A,03,16/09/2024,20/12/2024,11:30-13:30,María Pilar Muñoz Rivas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,1,15,16/09/2024,20/12/2024,12:30-13:30,Jerónimo Alaminos Prats,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,8,33,16/09/2024,20/12/2024,12:30-13:30,Sheldon Miriel Gil Dantas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,3,35,16/09/2024,20/12/2024,12:30-13:30,Jerónimo Alaminos Prats,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,3,35,16/09/2024,20/12/2024,12:30-13:30,Jerónimo Alaminos Prats,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,C,01,16/09/2024,20/12/2024,12:30-13:30,Sheldon Miriel Gil Dantas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,2,32,16/09/2024,20/12/2024,12:30-13:30,Abraham Rueda Zoca,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,E,03,16/09/2024,20/12/2024,15:30-17:30,Abraham Rueda Zoca,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,D,02,16/09/2024,20/12/2024,15:30-16:30,Jerónimo Alaminos Prats,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,E,03,16/09/2024,20/12/2024,15:30-16:30,Abraham Rueda Zoca,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,9,28,16/09/2024,20/12/2024,15:30-16:30,Jerónimo Alaminos Prats,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,D,02,16/09/2024,20/12/2024,16:30-18:30,Jerónimo Alaminos Prats,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,F,05,16/09/2024,20/12/2024,16:30-17:30,María Pilar Muñoz Rivas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,10,31,16/09/2024,20/12/2024,17:30-18:30,Jerónimo Alaminos Prats,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,F,05,16/09/2024,20/12/2024,17:30-19:30,María Pilar Muñoz Rivas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
