Nombre,Siglas,Grupo,Aula,Fecha de inicio,Fecha final,Horario,Profesor,URL
Cálculo,C,B3,22,16/09/2024,20/12/2024,09:30-10:30,Abraham Rueda Zoca,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,C,01,16/09/2024,20/12/2024,09:30-10:30,Sheldon Miriel Gil Dantas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,A,03,16/09/2024,20/12/2024,10:30-11:30,María Pilar Muñoz Rivas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,C1,31,16/09/2024,20/12/2024,10:30-11:30,Sheldon Miriel Gil Dantas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,B2,26,16/09/2024,20/12/2024,10:30-11:30,Sheldon Miriel Gil Dantas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,B,06,16/09/2024,20/12/2024,11:30-12:30,María Pilar Muñoz Rivas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,B,06,16/09/2024,20/12/2024,11:30-13:30,María Pilar Muñoz Rivas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,C,01,16/09/2024,20/12/2024,11:30-12:30,Sheldon Miriel Gil Dantas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,A,03,16/09/2024,20/12/2024,11:30-13:30,María Pilar Muñoz Rivas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,A1,15,16/09/2024,20/12/2024,12:30-13:30,Jerónimo Alaminos Prats,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,C2,33,16/09/2024,20/12/2024,12:30-13:30,Sheldon Miriel Gil Dantas,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,A3,35,16/09/2024,20/12/2024,12:30-13:30,Jerónimo Alaminos Prats,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
Cálculo,C,A3,35,16/09/2024,20/12/2024,12:30-13:30,Jerónimo Alaminos Prats,https://etsiit.ugr.es/informacion-academica/grados/graduadoa-ingenieria-informatica/calculo/11
