Nombre,Departamento,Asignaturas,Horario de Tutorías,URL
Nombre Apellidos,Departamento,No disponible,No disponible,N/A
Francisco Javier Abad Ortega,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Civil (Plan 2023): Fundamentos de Informática; Grado en Ingeniería Informática: Metodología de la Programación; Grado en Matemáticas: Informática II,Primer semestreDíaHorarioLugarMiércoles9:30 - 13:30D68-4P (Etsiccp)Miércoles18:30 - 20:30D68-4P (Etsiccp)Segundo semestreDíaHorarioLugarJueves9:30 - 12:30D20 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/francisco-javier-abad-ortega
Silvia Acid Carrillo,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Información y Documentación: Fundamentos de la Programación; Grado en Ingeniería Informática y Administración y Dirección de Empresas: Metodología de la Programación; Grado en Ingeniería Informática y Matemáticas: Metodología de la Programación,Primer semestreDíaHorarioLugarLunes11:30 - 13:30D22 (Etsiit)Lunes16:00 - 18:00D22 (Etsiit)Martes11:30 - 13:30D22 (Etsiit)Segundo semestreDíaHorarioLugarLunes18:00 - 20:00Bo (Fcyd)Martes16:00 - 19:00D22 (Etsiit)Miércoles13:30 - 14:30D22 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/silvia-acid-carrillo
Óscar Ramón Adamuz Hinojosa,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería de Tecnologías de Telecomunicación: Desarrollo de Aplicaciones en Red (Especialidad Telemática); Grado en Ingeniería de Tecnologías de Telecomunicación: Diseño y Dimensionado de Redes (Especialidad Telemática); Grado en Ingeniería de Tecnologías de Telecomunicación: Infraestructuras y Redes de Comunicación; Grado en Ingeniería de Tecnologías de Telecomunicación: Sistemas de Conmutación; Grado en Ingeniería de Tecnologías de Telecomunicación: Transmisión de Datos y Redes de Computadores,DíaHorarioLugarLunes14:30 - 17:30Desp. 0.1 Ed. Aux. EtsiitMartes8:30 - 11:30Desp. 0.1 Ed. Aux. Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/oscar-ramon-adamuz-hinojosa
Ángel Luis Agote Martín,Departamento de Organización de Empresas II,"Grado en Administración y Dirección de Empresas y Derecho: Fundamentos de Dirección y Administración de Empresas; Grado en Edificación: Economía Aplicada a la Empresa; Grado en Edificación y Administración y Dirección de Empresas: Economía Aplicada a la Empresa; Grado en Ingeniería de Tecnologías de Telecomunicación: Ingeniería, Empresa y Sociedad",DíaHorarioLugarMartes8:00 - 10:30Ciencias Empresariales Desp B224Viernes8:00 - 9:30Esc Informatica Desp 15Viernes11:30 - 13:30Esc Informatica Desp 15,https://etsiit.ugr.es/la-escuela/directorio-personal/angel-luis-agote-martin
Javier Aguilera Caracuel,Departamento de Organización de Empresas II,Grado en Administración y Dirección de Empresas: Dirección de Recursos Humanos I; Grado en Edificación y Administración y Dirección de Empresas: Dirección de Recursos Humanos I; Grado en Ingeniería Informática y Administración y Dirección de Empresas: Dirección de Recursos Humanos I; Grado en Ingeniería Civil y Administración y Dirección de Empresas: Dirección de Recursos Humanos I,Primer semestreDíaHorarioLugarMartes9:00 - 15:00Desp B214 Facultad CceeSegundo semestreDíaHorarioLugarLunes9:30 - 12:30Desp B214 Facultad CceeViernes9:30 - 12:30Desp B214 Facultad Ccee,https://etsiit.ugr.es/la-escuela/directorio-personal/javier-aguilera-caracuel
Ignacio Aguilera Martos,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática y Administración y Dirección de Empresas: Estructura de Datos; Grado en Ingeniería Informática: Estructura de Datos,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/ignacio-aguilera-martos
Eugenio Aguirre Molina,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Información y Documentación: Sistemas Informáticos; Grado en Ingeniería de Tecnologías de Telecomunicación: Fundamentos de Programación,Primer semestreDíaHorarioLugarLunes10:00 - 11:00Bo (Fcyd)Martes10:00 - 12:00D30 (Etsiit)Jueves10:00 - 12:00D30 (Etsiit)Viernes10:00 - 11:00Bo (Fcyd)Segundo semestreDíaHorarioLugarMartes10:00 - 13:00D30 (Etsiit)Jueves10:00 - 13:00D30 (Etsiit),https://etsiit.ugr.es/la-escuela/directorio-personal/eugenio-aguirre-molina
Jerónimo Alaminos Prats,Departamento de Análisis Matemático,Grado en Ingeniería Informática: Cálculo,Primer semestreDíaHorarioLugarLunes10:30 - 11:30EtsiitMartes9:30 - 11:30EtsiitMartes16:30 - 17:30EtsiitMiércoles16:30 - 18:30EtsiitSegundo semestreDíaHorarioLugarLunes9:00 - 11:00Facultad de CienciasMartes9:00 - 11:00Facultad de CienciasMiércoles18:30 - 19:30Facultad de CienciasJueves16:30 - 17:30Facultad de Ciencias,https://etsiit.ugr.es/la-escuela/directorio-personal/jeronimo-alaminos-prats
Laura Alcaide Muñoz,Departamento de Economía Financiera y Contabilidad,Grado en Edificación y Administración y Dirección de Empresas: Contabilidad Financiera I; Grado en Finanzas y Contabilidad: Contabilidad General; Grado en Finanzas y Contabilidad: Introducción a las Operaciones Financieras; Grado en Ingeniería Informática y Administración y Dirección de Empresas: Contabilidad Financiera I; Grado en Ingeniería Civil y Administración y Dirección de Empresas: Contabilidad Financiera I,Primer semestreDíaHorarioLugarLunes12:30 - 14:30B 034Martes8:30 - 10:30B 034Miércoles12:30 - 14:30B 034Segundo semestreDíaHorarioLugarMiércoles8:30 - 10:30B 034Jueves8:30 - 10:30B 034Jueves12:30 - 14:30B 034,https://etsiit.ugr.es/la-escuela/directorio-personal/laura-alcaide-munoz
